Variable Code,Question text,,,
CCVEII_1,How often did you have the problem of increased bowel movements in the past two weeks?,,,
CCVEII_2,How often during the past two weeks did you feel fatigued or weary?,,,
CCVEII_3,How much energy did you have during the past two weeks?,,,
CCVEII_4,How often did you have to cancel or delay a social event because of your bowel problem in the past two weeks?,,,
CCVEII_5,How often during the past two weeks did you have abdominal cramps?,,,
CCVEII_6,How often during the past two weeks did you feel generally unwell?,,,
CCVEII_7,To what extent has reaching or maintaining a desirable body weight been a problem in the past two weeks?,,,
CCVEII_8,How often did you feel nauseated or sick to your stomach in the past two weeks?,,,
CCVEII_9,"To what extent have you been satisfied, happy, or pleased with your personal life in the past two weeks?",,,
APGAR_1,I am satisfied with the help I receive from my family when something is troubling me,,,
APGAR_2,I am satisfied with the way my family discusses items of common interest and shares problem solving with me,,,
APGAR_3,I am satisfied with the way my family expresses affection and responds to my emotions,,,
APGAR_4,I am satisfied with the way my family and I share time together,,,
APGAR_5,I am satisfied with the way my family accepts and supports my wishes to take on new activities,,,
PSS1,"In the last month, how often have you been upset because of something that happened unexpectedly?",,,
PSS2,"In the last month, how often have you felt that you were unable to control the important things in your life?",,,
PSS3,"In the last month, how often have you felt nervous and stressed?",,,
PSS4,"In the last month, how often have you been able to successfully deal with life's irritations?",,,
PSS5,"In the last month, how often have you felt that you were effectively coping with important changes in your life?",,,
PSS6,"In the last month, how often have you felt confident about your ability to handle your personal problems?",,,
PSS7,"In the last month, how often have you felt that things were going your way?",,,
PSS8,"In the last month, how often have you felt that you could not cope with all the things you had to do?",,,
PSS9,"In the last month, how often have you been able to control difficulties in your life?",,,
PSS10,"In the last month, how often have you felt that you were on top of things?",,,
PSS11,"In the last month, how often have you been angered because of things that were outside of your control?",,,
PSS12,"In the last month, how often have you thought about things you have yet to accomplish?",,,
PSS13,"In the last month, how often have you been able to control the way you spend your time?",,,
PSS14,"In the last month, how often have you felt that difficulties were piling up so high that you could not overcome them?",,,
HADS-A1,"I feel tense or ""wound up""",,,
HADS-D1,I still enjoy the things I used to enjoy,,,
HADS-A2,"I get a sort of frightened feeling, as if something awful is about to happen",,,
HADS-D2,I can laugh and see the funny side of things,,,
HADS-A3,Worrying thoughts go through my mind,,,
HADS-D3,I feel cheerful,,,
HADS-A4,I can sit at ease and feel relaxed,,,
HADS-D4,I feel as if I am slowed down,,,
HADS-A5,"I get a sort of frightened feeling, like ""butterflies"" in the stomach",,,
HADS-D5,I have lost interest in my appearance,,,
HADS-A6,"I feel restless, as if I have to be on the move",,,
HADS-D6,I look forward to things with enjoyment,,,
HADS-A7,I get sudden feelings of panic,,,
HADS-D7,I can enjoy a good book or radio or TV programme,,,
